"Gene_Symbol","ENTREZ_GENE_ID","FoldChanges"
"ALDH8A1",64577,1.137887123
"ALDH9A1",223,1.051742709
"ALDOA",226,0.456282998
"ALDOAP2",228,1.215390842
"ALDOB",229,0.985728923
"ALDOC",230,0.305487432
"ALG1",56052,1.124821793
"ALG10",84920,0.943508288
"ALG10B",144245,0.927150101
"ALG12",79087,1.06661331
"ALG13",79868,0.931270441
"ALG14",199857,0.899900742
"ALG2",85365,0.854943738
"ALG3",10195,0.962941826
"ALG5",29880,0.878663086
"ALG6",29929,0.59208207
"ALG8",79053,0.578950932
"ALG9",79796,0.640653062
"ALK",238,1.064021517
"ALKBH1",8846,0.78032594
"ALKBH2",121642,0.878245271
"ALKBH3",221120,0.547365233
"ALKBH4",54784,1.000180215
"ALKBH5",54890,0.783592205
"ALKBH6",84964,1.212561006
"ALKBH7",84266,0.88205613
"ALKBH8",91801,1.220590315
"ALLC",55821,1.280509629
"ALMS1",7840,1.145772106
"ALMS1P",200420,1.640849051
"ALOX12",239,0.974496413
"ALOX12B",242,1.00517957
"ALOX12P2",245,1.024533609
"ALOX15",246,0.94630398
"ALOX15B",247,1.258281882
"ALOX5",240,1.117759323
"ALOX5AP",241,0.903870064
"ALOXE3",59344,1.096347613
"ALPI",248,1.039644014
"ALPK1",80216,1.345756892
"ALPK2",115701,1.045914662
"ALPK3",57538,0.95918153
"ALPL",249,1.059504862
"ALPP",250,0.99359305
"ALPPL2",251,1.054653882
"ALS2",57679,1.118651473
"ALS2CL",259173,1.03111074
"ALS2CR10",65072,0.921356747
"ALS2CR11",151254,1.027529271
"ALS2CR12",130540,1.440182134
"ALS2CR4",65062,0.773061508
"ALS2CR8",79800,0.895095829
"ALX1",8092,1.137253202
"ALX3",257,0.993146848
"ALX4",60529,1.201128812
"AMAC1",146861,1.063289334
"AMAC1L2",83650,1.142228359
"AMACR",23600,0.944299717
"AMACR",114899,0.944299717
"AMBN",258,1.104790782
"AMBP",259,1.058234999
"AMBRA1",55626,0.937191596
"AMD1",262,0.635320281
"AMDHD1",144193,1.01674523
"AMDHD2",51005,1.021864342
"AMELX",265,1.027933887
"AMELY",266,1.154771638
"AMFR",267,0.585287419
"AMH",268,0.98439958
"AMHR2",269,1.251058188
"AMICA1",120425,1.071435953
"AMIGO1",57463,0.601151432
"AMIGO2",347902,0.569084655
"AMIGO3",29925,1.071172302
"AMMECR1",9949,0.986072159
"AMMECR1L",83607,0.929305355
"AMN",81693,1.043098455
"AMN1",196394,0.751602887
"AMOT",154796,0.926870821
"AMOTL1",154810,1.054661769
"AMOTL2",51421,2.267054711
"AMPD1",270,1.066189919
"AMPD2",271,1.190250901
"AMPD3",272,0.896667087
"AMPH",273,0.219387158
"AMT",275,0.94265388
"AMY1A",276,0.478311243
"AMY1B",277,0.478311243
"AMY1C",278,0.478311243
"AMY2A",279,0.478311243
"AMY2B",280,0.741234109
"AMZ1",155185,1.122828267
"AMZ2",51321,0.861172755
"ANAPC1",64682,0.724663403
"ANAPC10",10393,0.677621866
"ANAPC10P",729198,0.696558556
"ANAPC11",51529,0.954365308
"ANAPC11",100131844,0.954365308
"ANAPC13",25847,0.756397426
"ANAPC2",29882,1.145813805
"ANAPC4",29945,0.755378084
"ANAPC5",51433,0.729492208
"ANAPC7",51434,0.685496819
"ANG",283,1.055753461
"ANGEL1",23357,1.003165674
"ANGEL2",90806,1.006700062
"ANGPT1",284,1.186632722
"ANGPT2",285,1.257315838
"ANGPT4",51378,1.20314564
"ANGPTL1",9068,0.999431619
"ANGPTL2",23452,1.098589844
"ANGPTL3",27329,1.00203424
"ANGPTL4",51129,1.085712043
"ANGPTL6",83854,0.964457733
"ANGPTL7",10218,1.013866591
"ANK1",286,1.030889805
"ANK2",287,0.943742063
"ANK3",288,1.354955549
"ANKAR",150709,1.070801102
"ANKDD1A",348094,1.465219335
"ANKFN1",162282,0.904776157
"ANKFY1",51479,0.936789327
"ANKH",56172,0.824712683
"ANKHD1",54882,0.841215014
"ANKHD1",404734,0.841215014
"ANKHD1-EIF4EBP3",54882,0.81964121
"ANKHD1-EIF4EBP3",404734,0.81964121
"ANKIB1",54467,0.820986883
"ANKLE1",126549,0.953493693
"ANKLE2",23141,0.819392273
"ANKMY1",51281,0.981366428
"ANKMY2",57037,0.258591329
"ANKRA2",57763,0.915300327
"ANKRD1",27063,1.053025947
"ANKRD10",55608,0.933700907
"ANKRD11",29123,1.707296251
"ANKRD12",23253,1.635188174
"ANKRD13A",88455,1.747926894
"ANKRD13B",124930,1.081969393
"ANKRD13C",81573,0.781658562
"ANKRD13D",338692,2.054609006
"ANKRD16",54522,0.945882009
"ANKRD17",26057,0.948180744
"ANKRD18A",138649,0.922854823
"ANKRD18A",253650,0.922854823
"ANKRD18B",253650,1.102232545
"ANKRD19",138649,0.916464999
"ANKRD19",441459,0.916464999
"ANKRD2",26287,1.011326134
"ANKRD20A1",375010,1.21139157
"ANKRD20A1",441425,1.21139157
"ANKRD20A1",100132733,1.21139157
"ANKRD20A2",284232,1.21139157
"ANKRD20A2",441425,1.21139157
"ANKRD20A2",441430,1.21139157
"ANKRD20A3",391267,1.21139157
"ANKRD20A3",441430,1.21139157
"ANKRD20A3",728747,1.21139157
"ANKRD20A4",84210,1.21139157
"ANKRD20A4",441425,1.21139157
"ANKRD20A4",647595,1.21139157
"ANKRD20B",728371,1.056632703
"ANKRD22",118932,1.007028854
"ANKRD23",200539,1.292056851
"ANKRD24",170961,1.121416758
"ANKRD26",22852,0.881685455
"ANKRD27",84079,0.555669018
"ANKRD28",23243,1.230206757
"ANKRD29",147463,0.474122052
"ANKRD30A",91074,1.025868777
"ANKRD30B",374860,0.992318023
"ANKRD31",256006,1.093707314
"ANKRD32",84250,0.797065276
"ANKRD33",341405,0.983711682
"ANKRD34A",284615,0.997865615
"ANKRD34C",390616,0.752859042
"ANKRD35",148741,0.645612435
"ANKRD36",375248,2.830233617
"ANKRD36B",57730,3.735132264
"ANKRD37",353322,0.901503797
"ANKRD39",51239,0.636707509
"ANKRD40",91369,0.873574273
"ANKRD42",338699,1.082780919
"ANKRD43",134548,1.410628238
"ANKRD44",91526,0.973538825
"ANKRD45",339416,1.047563612
"ANKRD46",157567,1.54282139
"ANKRD49",54851,0.748065056
"ANKRD5",63926,1.044102014
"ANKRD50",57182,0.930886689
"ANKRD52",283373,1.15433471
"ANKRD53",79998,1.195221419
"ANKRD54",129138,0.819833285
"ANKRD55",79722,1.100229979
"ANKRD57",65124,0.967797538
"ANKRD6",22881,0.511077544
"ANKRD60",140731,1.077345811
"ANKRD7",56311,1.046368951
"ANKRD9",122416,1.32160743
"ANKS1A",23294,1.087634607
"ANKS1B",56899,1.491759796
"ANKS3",124401,0.958764937
"ANKS4B",257629,1.017488722
"ANKS6",203286,0.925636067
"ANKZF1",55139,1.02548677
"ANLN",54443,1.287699929
"ANO1",55107,0.979254676
"ANO10",55129,1.079801824
"ANO2",57101,1.0033762
"ANO3",63982,0.734186038
"ANO4",121601,0.753304447
"ANO5",203859,0.613458415
"ANO6",196527,1.151683967
"ANO7",50636,1.096715265
"ANO8",57719,1.533663814
"ANO9",338440,1.052301309
"ANP32A",8125,1.129521906
"ANP32A",100128146,1.129521906
"ANP32B",10541,1.631036158
"ANP32C",23519,1.179339762
"ANP32C",23520,1.179339762
"ANP32D",23520,1.191919256
"ANP32E",81611,0.851680199
"ANPEP",290,1.037042739
"ANTXR1",84168,1.078086872
"ANTXR2",118429,0.804357967
"ANUBL1",93550,1.118258977
"ANXA1",301,0.967324886
"ANXA10",11199,1.052853155
"ANXA11",311,1.187090312
"ANXA13",312,1.362178463
"ANXA2",302,0.999165937
